kennziffer,name,fl17,bev17,sgtyp,sgtyp_name,wo,,mittelb17,mittelb17name,ihk17,ihk17name
1053943,Lütau,80.76,"3,937",50,Landgemeinde,1,West,10108,Geesthacht,50,IHK zu Lübeck
1053958,Lauenburgische Seen,237.73,"13,486",50,Landgemeinde,1,West,10110,Ratzeburg,50,IHK zu Lübeck
1053973,Schwarzenbek-Land,131.83,"9,370",50,Landgemeinde,1,West,10108,Geesthacht,50,IHK zu Lübeck
1053991,Sandesneben-Nusse,206.11,"15,446",50,Landgemeinde,1,West,10109,Mölln,50,IHK zu Lübeck
1054033,"Friedrichstadt, Stadt",4.03,"2,564",50,Landgemeinde,1,West,10506,Husum,26,IHK Flensburg
1054056,"Husum, Stadt",25.81,"23,274",20,Mittelstadt,1,West,10506,Husum,26,IHK Flensburg
1054108,Reußenköge,45.91,316,50,Landgemeinde,1,West,10506,Husum,26,IHK Flensburg
1054138,"Tönning, Stadt",44.41,"4,986",40,Kleine Kleinstadt,1,West,10507,Tönning,26,IHK Flensburg
1054168,Sylt,57.33,"13,638",30,Größere Kleinstadt,1,West,10501,Westerland,26,IHK Flensburg
1054917,Eiderstedt,249.14,"11,420",50,Landgemeinde,1,West,10507,Tönning,26,IHK Flensburg
1054939,Landschaft Sylt,38.69,"4,305",50,Landgemeinde,1,West,10501,Westerland,26,IHK Flensburg
1054953,Viöl,177.75,"9,121",50,Landgemeinde,1,West,10506,Husum,26,IHK Flensburg
1054959,Pellworm,57.31,"1,384",50,Landgemeinde,1,West,10506,Husum,26,IHK Flensburg
1054988,Föhr-Amrum,103.30,"10,554",50,Landgemeinde,1,West,10502,Niebüll,26,IHK Flensburg
1054989,Südtondern,594.44,"39,747",30,Größere Kleinstadt,1,West,10502,Niebüll,26,IHK Flensburg
1054992,Nordsee-Treene,411.66,"23,339",50,Landgemeinde,1,West,10506,Husum,26,IHK Flensburg
1054994,Mittleres Nordfriesland,273.19,"20,814",40,Kleine Kleinstadt,1,West,10506,Husum,26,IHK Flensburg
1055001,Ahrensbök,95.37,"8,281",40,Kleine Kleinstadt,1,West,10203,Lübeck,50,IHK zu Lübeck
1055004,"Bad Schwartau, Stadt",18.39,"19,997",30,Größere Kleinstadt,1,West,10203,Lübeck,50,IHK zu Lübeck
1055010,Dahme,9.11,"1,244",50,Landgemeinde,1,West,10204,Neustadt (Holstein),50,IHK zu Lübeck
1055012,"Eutin, Stadt",41.40,"16,946",30,Größere Kleinstadt,1,West,10202,Eutin,50,IHK zu Lübeck
1055016,Grömitz,51.11,"7,240",40,Kleine Kleinstadt,1,West,10204,Neustadt (Holstein),50,IHK zu Lübeck
1055018,Grube,20.20,"1,022",50,Landgemeinde,1,West,10201,Oldenburg (Holstein),50,IHK zu Lübeck
1055021,"Heiligenhafen, Stadt",18.32,"9,117",40,Kleine Kleinstadt,1,West,10201,Oldenburg (Holstein),50,IHK zu Lübeck
1055025,Kellenhusen (Ostsee),8.17,"1,106",50,Landgemeinde,1,West,10204,Neustadt (Holstein),50,IHK zu Lübeck
1055028,Malente,69.06,"10,607",30,Größere Kleinstadt,1,West,10202,Eutin,50,IHK zu Lübeck
1055032,"Neustadt in Holstein, Stadt",19.74,"15,187",30,Größere Kleinstadt,1,West,10204,Neustadt (Holstein),50,IHK zu Lübeck
1055033,"Oldenburg in Holstein, Stadt",39.68,"9,806",40,Kleine Kleinstadt,1,West,10201,Oldenburg (Holstein),50,IHK zu Lübeck
1055035,Ratekau,59.61,"15,285",30,Größere Kleinstadt,1,West,10203,Lübeck,50,IHK zu Lübeck
1055040,Stockelsdorf,56.70,"17,071",30,Größere Kleinstadt,1,West,10203,Lübeck,50,IHK zu Lübeck
1055041,Süsel,75.31,"5,052",40,Kleine Kleinstadt,1,West,10202,Eutin,50,IHK zu Lübeck
1055042,Timmendorfer Strand,20.13,"8,787",40,Kleine Kleinstadt,1,West,10203,Lübeck,50,IHK zu Lübeck
1055044,Scharbeutz,52.53,"11,187",30,Größere Kleinstadt,1,West,10203,Lübeck,50,IHK zu Lübeck
1055046,"Fehmarn, Stadt",185.49,"12,536",30,Größere Kleinstadt,1,West,10201,Oldenburg (Holstein),50,IHK zu Lübeck
1055943,Oldenburg-Land,212.99,"9,314",50,Landgemeinde,1,West,10201,Oldenburg (Holstein),50,IHK zu Lübeck
1055946,Lensahn,104.59,"8,527",40,Kleine Kleinstadt,1,West,10201,Oldenburg (Holstein),50,IHK zu Lübeck
1055991,Ostholstein-Mitte,170.43,"8,868",50,Landgemeinde,1,West,10204,Neustadt (Holstein),50,IHK zu Lübeck
1056002,"Barmstedt, Stadt",17.17,"10,331",30,Größere Kleinstadt,1,West,10101,Elmshorn,42,IHK zu Kiel
1056005,Bönningstedt,12.05,"4,545",50,Landgemeinde,1,West,10103,Pinneberg,42,IHK zu Kiel
1056015,"Elmshorn, Stadt",21.37,"49,618",20,Mittelstadt,1,West,10101,Elmshorn,42,IHK zu Kiel
1056018,Halstenbek,12.58,"17,700",30,Größere Kleinstadt,1,West,10103,Pinneberg,42,IHK zu Kiel
1056021,Hasloh,11.07,"3,623",50,Landgemeinde,1,West,10103,Pinneberg,42,IHK zu Kiel
1056025,Helgoland,4.20,"1,246",50,Landgemeinde,1,West,10403,Brunsbüttel,42,IHK zu Kiel
1056039,"Pinneberg, Stadt",21.54,"43,155",20,Mittelstadt,1,West,10103,Pinneberg,42,IHK zu Kiel
1056041,"Quickborn, Stadt",43.17,"21,056",20,Mittelstadt,1,West,10105,Norderstedt,42,IHK zu Kiel
1056043,Rellingen,13.18,"14,391",30,Größere Kleinstadt,1,West,10103,Pinneberg,42,IHK zu Kiel
1056044,"Schenefeld, Stadt",9.99,"19,141",30,Größere Kleinstadt,1,West,10103,Pinneberg,42,IHK zu Kiel
1056048,"Tornesch, Stadt",20.61,"13,652",30,Größere Kleinstadt,1,West,10101,Elmshorn,42,IHK zu Kiel
1056049,"Uetersen, Stadt",11.43,"18,429",30,Größere Kleinstadt,1,West,10101,Elmshorn,42,IHK zu Kiel
